,name,revision_id
76,Davood Moradian,1106284627
77,Zalmai Mujadidi,1104635001
78,Fazal Haq Mujahid,1113267490
79,Rahmatullah Nabil,1112496538
80,Sardar Mohammad Nadir Naeem,1038680015
81,Daoud Naji,1110983467
82,Gholam Rabani Nasher,916899472
83,Muhammad Yunus Nawandish,1111494390
84,Ali Maisam Nazary,1107279930
85,Ghulam Faroq Nijrabi,1093612575
86,Zabih-U-llah Ghazi Noristani,1001786762
87,Mohammed Tahir Omar,996093541
88,Nasrin Oryakhil,1097277701
89,Murad Quenili,1093963498
90,Ghulam Mohammad Rigi,918256992
91,Ghulam Hassan Safi,987269301
92,Hanifa Safi,994195074
93,Amrullah Saleh,1115022704
94,Mohammed Zia Salehi,889806024
95,Abdul Majid Samim,1098092701
96,Saber Sangar,1019860497
97,Muhammad Arif Sarwari,1079170926
98,Sayed Nasim Mihanparast,1026963110
99,Sayyid Husayn,1095559301
100,Suhail Shaheen,1102910228
101,Mohammad Shakir Kargar,1096574840
102,Baktash Siawash,1111917754
103,Awtar Singh,1115100619
104,Hasan Ali Sultani,1060706902
105,Faramarz Tamanna,1106885861
106,Mohammad Hashem Taufiqui,1021308429
107,Nur ul-Haq Ulumi,1107429109
108,Pacha Gul Wafadar,1020846299
109,Wahidullah Waissi,1111508295
110,Gul Ahmmad Yama,1060707715
111,Al-Haj Suliman Yari,1092426408
112,Abdul Salam Zaeef,1106388504
113,Abdul Zahir (Konar Education Minister),1097261199
114,Mohammed Zaman,1108389318
115,Ziauddin (Afghan militia leader),1095799892
116,Qari Ziauddin,1033608758
117,Abdul Ghafor Zori,994023417
118,Ali Pasha of Gusinje,1114426634
119,Ylli Asllani,949182924
120,Azis Tahir Ajdonati,994501003
121,Bislim Bajgora,1091800566
122,Kastriot Berissa,1094050369
123,Bardhok Biba,1110580984
124,Dervish Biçaku,1106794267
125,Kostandin Boshnjaku,1107876476
126,Spartak Braho,1098235893
127,Safet Butka,1067080697
128,Uran Butka,1087272778
129,Refo Çapari,1061419179
130,Neritan Ceka,1095178618
131,Hysni Curri,1114418989
132,Ibrahim Dalliu,1087026828
133,Niazi Demi,1104589367
134,Abdurrahman Dibra,1101365003
135,Fuad Dibra,1079550815
136,Isuf Dibra,1108975040
137,Bujar Dida,1112281152
138,Ahmed Dino,1114424802
139,Rasih Dino,1067061654
140,Ferhat Bey Draga,1101927317
141,Nexhip Draga,1092914547
142,Aqif Pasha Elbasani,1114425909
143,Abas Ermenji,1073827690
144,Bajram Fevziu,1089008480
145,Qamil Musa Haxhi Feza,1015553118
146,Themistokli Gërmenji,1099714241
147,Sabri Godo,1105835401
148,Mihal Grameno,1095879069
149,Aćif Hadžiahmetović,1104696112
150,Albulena Haxhiu,1095286065
151,High Council of Regency,1107096289
152,Spiridon Kacarosi,993288548
153,Kurt Agë Kadiu,998414015
154,Mehmed Kalakula,979382854
155,Alfred Karamuço,1098236555
156,Ibrahim Karbunara,1053849574
157,Ali Këlcyra,1069956844
158,Belind Këlliçi,1114971095
159,Bajram Kelmendi,1098232331
160,Kristo Kirka,1071577370
161,Elez Koçi,919356105
162,Ali Riza Kolonja,1095185542
163,Glauk Konjufca,1110511667
164,Xhelal Koprëncka,1106794268
165,Kryeziu family,1113466121
166,Artur Kuko,1112281132
167,Xhavid Leskoviku,1080104315
168,Sabit Lulo,1071576324
169,Gjon Markagjoni,1114419158
170,Tefik Mborja,1112281218
171,Fatmir Mediu,1108640753
172,Hysni Milloshi,1111101481
173,Musa Qazimi,1085455681
174,Mustafa Ndroqi,1091483288
175,Behxhet Nepravishta,1114419169
176,Adrian Neritani,1112281129
177,Sali Nivica,1074384873
178,Thoma Orologa,1114419178
179,Bedri Pejani,1080373501
180,Pertef Pogoni,1071576384
181,Kadri Prishtina,1114907355
182,Ymer Prizreni,1114419180
183,Avni Rustemi,1113688253
184,Chatin Sarachi,1089622596
185,Nebi Sefa,978173646
186,Eduard Shalsi,1090651886
187,Ylli Vesel Shehu,1002857261
188,Athanas Shundi,1090001664
189,Xhelal Sveçla,1110419834
190,Mehmet Tahsini,1089358942
191,Ibrahim Temo,1114899959
192,Pavli Terka,1107079359
193,Afrim Tole,1091240960
194,Sejfi Vllamasi,1073823015
195,Syrja Vlora,1109383587
196,Visarion Xhuvani,1115321286
197,Visar Ymeri,1036757024
198,Abdyl Ypi,1075914314
199,Xhezair Zaganjori,1106753028
200,Menduh Zavalani,1071577719
201,Said Abadou,1112193748
202,Tahar Allan,1059626268
203,Mohamed Seghir Babes,1079379844
204,Djelloul Baghli,1053461392
205,Noureddine Bahbouh,1099284595
206,Lamine Bechichi,1111537825
207,Bakhti Belaïb,1107713309
208,Mohamed Belouizdad,1102331624
209,Mourad Benachenou,1091746754
210,Benaouda Hadj Hacène Bachterzi,1064464792
211,Souad Bendjaballah,1064463751
212,Mohammed Saleh Bendjelloul,1064459314
213,Mohamed Bensalam,1053464158
214,Said Boualam,1104123484
215,Abdeslam Bouchouareb,1053459025
216,Brahim Chibout,1053460621
217,Bouras Djamel,1072064909
218,Ahmed Djebbar,1112131049
219,Fatiha Serour,1019766063
220,Mohamed Hassaïne,1098798192
221,Ibrahim Boughali,1110540602
222,Abdenour Keramane,1028900906
223,Abelkader Khamri,1088927932
224,Mahmoud Khedri,1102198843
225,Mohamed Laïchoubi,1053469601
226,Sassi Lamouri,1053478920
227,Mohamed Maghlaoui,1053469610
228,Amar Makhloufi,1053459748
229,Hacen Mefti,1053461924
230,Mokhtar Meherzi,1028900891
231,Mohamed Elias Mesli,1009461580
232,Azzedine Mihoubi,1031600815
233,Cherif Rahmani,1053461144
234,Naima Salhi,1113203380
235,Guillem d'Areny-Plandolit,1100710928
236,Guillem Areny,1101200095
237,Joan Armengol,1105550472
238,Francesc Badia Batalla,1102180575
239,Josep Maria Beal,1104772844
240,Climent Palmitjavila,1102731108
241,Antoni Puigdellívol,1100253414
242,Òscar Ribas Reig,1105529195
243,Boris Skossyreff,1114575861
244,Enric Tarrado Vives,986671433
245,Alexandre Sebastião André,979043156
246,Isaac Maria dos Anjos,1087791055
247,Paulino Baptista,1098277989
248,João Baptista Borges,1108136082
249,Branca Manuel Espirito Santo,1082903108
250,André Luís Brandão,1092527809
251,André Gaspar Mendes de Carvalho,871672690
252,Carolina Cerqueira,1081277226
253,Arlete Chimbinda,1101656146
254,Kafundanga Chingunji,1111470901
255,Jeremias Chitunda,1076646666
256,Abel Chivukuvuku,987997249
257,Adalberto Costa Júnior,1107102259
258,Adjany Costa,1081302172
259,Álvaro Arnaldo Craveiro,1112653739
260,Raul Danda,1099408586
261,Carlos António Fernandes,1003396569
262,Fiel Domingos Constantino,1082902869
263,Abraão Gourgel,1080440646
264,Maria Monteiro Jardin,1095470855
265,José da Rocha,1094974511
266,Mateus de Brito Júnior,1054271575
267,Kambamba Kulaxingo,1093124425
268,Abel Xavier Nzuzi Lubota,1080325199
269,David Mendes,1024544204
270,Fernando Faustino Muteka,1079490106
271,José Ndele,1101583647
272,Daniel Ntongi-Nzinga,848334573
273,Pedro Tonho Pedale,1113903559
274,Elias Salupeto Pena,994023688
275,Pinda Simão,1093735313
276,Johnny Eduardo Pinnock,992923654
277,Santana André Pitra,886771177
278,José Aníbal Lopes Rocha,985054758
279,Luís Gomes Sambo,1114131425
280,José Filomeno dos Santos,1111269228
281,Jonas Savimbi,1110987217
282,Manuel Bernardo de Sousa,886461023
283,Augusto da Silva Tomás,1112407992
284,Luzia Inglês Van-Dúnem,1067323463
285,Manuel Vicente,1106406859
286,Mfulupinga Nlando Victor,994085067
287,Randolph Beazer,1094157275
288,Studiation Brown,825090349
289,Colin O'Neil Browne,1108425154
290,James Carlisle,1112658085
291,Gail Christian,1082380535
292,Osbert Richard Frederick,1082381271
293,William Haynes-Smith,1037116181
294,Tim Hector,1075044001
295,Cheryl Mary Clare Hurst,1082380270
296,Wilfred Jacobs,1110866224
297,Harold Lovell,1106157497
298,John Lyons (Antiguan politician),1102523754
299,Edmond Mansoor,1106044619
300,Joanne Massiah,1095742971
301,Melford Walter Nicholas,1113392435
302,Bernard Percival,1073473676
303,Alincia Williams-Grant,1080767913
304,Joaquín Samuel de Anchorena,1096421201
305,Juan Agustín Augier,989941326
306,Uladislao Augier,1083670137
307,Joaquín Belgrano,1033486500
308,Antonio Bermejo,1111012579
309,Antonio Beruti,1072761348
310,Héctor Bidonde,1091652004
311,Silvano Bores,1035890502
312,Pedro Braillard Poccard,1100848745
313,Exequiel Bustillo,1096179751
314,Mario Cafiero,1102185475
315,Alberto Manuel Campos,1073206939
316,Alejo Castex,1096414709
317,Dámaso Centeno,1096183091
318,Carlos Corach,1068148753
319,Jorge Coscia,1099409991
320,Juan Carlos Del Bello,1100037128
321,Luis L. Domínguez,1089356576
322,Máximo Etchecopar,1115155777
323,Héctor Toty Flores,1067754685
324,Juan Fugl,1073206214
325,Santiago Gallo,1039135531
326,Manuel José García,1007128573
327,Juan José Gómez Centurión,1110844685
328,Luis Carlos Gómez Centurión,1040878894
329,Martín Guzmán,1111128923
330,Federico Helguera,1066754349
331,Fernando Iglesias (Argentine politician),1093400021
332,Ricardo Kennedy,1096426574
333,Carlos Kunkel,1005790906
334,Norberto La Porta,721029407
335,Andrés Larroque,1060504858
336,Julián de Leyva,959654287
337,Mónica López (politician),797826672
338,Lucio Victorio Mansilla,1086339086
339,Nicolás Massot,1069153148
340,Juan Mignaburu,994878410
341,Guillermo Montenegro,1096175549
342,Mariano Moreno,1113829451
343,Marcelo Muniagurria,1108926646
344,Fernando Nadra,1105357958
345,Rómulo Sebastián Naón,1096261399
346,Santiago G. O'Farrell,1096261487
347,Miguel Ángel Pesce,1096459313
348,Carlos Petroni,1100374393
349,Alejo Peyret,1091481103
350,Aldo Pignanelli,1106856167
351,Enrique S. Quintana,1016343362
352,Amán Rawson,1096678788
353,Martín Sabbatella,1073202733
354,Juan Pablo Schiavi,1069152180
355,Héctor Tizón,1096176230
356,Claudio Uberti,1032047313
357,Arístides Villanueva,994807413
358,Artashes Abeghyan,1088583026
359,Aram Achekbashian,1046857776
360,Hovsep Arghutian,1095822812
361,Mikael Atabekyan,1008108682
362,Tigran Bekzadyan,1027604306
363,Vigen Chitechyan,1099308421
364,Hayk Chobanyan,1093711595
365,Daniel-Bek of Sassun,1114419837
366,Gurgen Egiazaryan,1103745376
367,Parunak Ferukhan,1114420012
368,Hambardzum Galstyan,1084735335
369,Gegham Gharibjanian,1048485720
370,Gevorg Ghazaryan (politician),1082547991
371,Andrias Ghukasyan,1108345283
372,Aram Grigoryan,1112117000
373,Armen Grigoryan (politician),1069944070
374,Hayk Grigoryan,1090623549
375,Grigor Jaghetyan,1062820993
376,Tigran Karapetyan,1112833785
377,Khachatur-Bek of Mush,1114420639
378,Aram Kocharyan,1107982644
379,Davit Lokyan,1089241404
380,Hrant Maloyan,1114902744
381,Khachatur Malumian,1114420669
382,Aram Manukyan,1048512708
383,Gevorg Melik-Karagyozyan,980519720
384,Vahan Minakhoryan,1055697655
385,Ruben Mirzakhanyan,1084737845
386,Badal Muradyan,1090630537
387,Gabriel Noradunkyan,1114426086
388,Suren Papikyan,1112772824
389,Paul Paul,1114420707
390,Garo Paylan,1104655518
391,Genrikh Poghosyan,1085393392
392,Ishkhan Saghatelyan,1107169295
393,Martiros Sarukhanyan,933482772
394,Vartkes Serengülian,1114426992
395,Serop Zakaryan,1057547947
396,Servitchen,1114420738
397,Suren Shadunts,1109564586
398,Kasbar Sinabian,1114426546
399,Ohannes Tchekidjian,1090861179
400,Hrayr Tovmasyan,993785842
401,Usuv Beg,1086955149
402,Kegham Vanigian,1114420793
403,Artak Zeynalyan,1097086972
404,Alfons Adam,1103541474
405,Ingo Appelt,997950968
406,Baron Alexander von Bach,1114355363
407,"Maximilian Anton Karl, Count Baillet de Latour",1112473939
408,Heinrich Alfred Barb,1092809567
409,Raphael Basch,1023595642
410,Leopold Berchtold,1089443270
411,Hanns Blaschke,1112474283
412,Andreas Bolek,1005030653
413,Joseph Buttinger,1080982386
414,Prince Carl of Solms-Braunfels,1107215721
415,Count Wenzel Chotek of Chotkow and Wognin,1083654825
416,Citizens' Ministry,1071736555
417,Richard von Coudenhove-Kalergi,1108787206
418,Karl von Czyhlarz,1021127705
419,George Abraham von Dyhrn,1007538469
420,Hans Ferlitsch,941916920
421,Friedhelm Frischenschlager,1018809630
422,Anton Füster,1078570802
423,Julius Anton Glaser,1112473750
424,Walter Guggenberger,1112473762
425,Ulrich Habsburg-Lothringen,1112474612
426,Ernst Hampel (politician),1069436586
427,Franz von Hartig,1007537619
428,Hans Peter Haselsteiner,1112603346
429,Friedrich Wilhelm von Haugwitz,1112275892
430,Eduard Hedvicek,1072556655
431,Eduard Herbst,1007530580
432,Hermann Stern,1101206070
433,Jürgen Himmelbauer,969146003
434,Anton Hofer,1105446235
435,Andreas Hörtnagl,969145984
436,Franz Jetzinger,1086163096
437,Konstantin Jireček,1100601439
438,Hugo Jury,1050014678
439,Maximilian Ulrich von Kaunitz,1087172023
440,Joseph Kenner,1112603390
441,Theodor Kery,1065573627
442,Michael Killisch-Horn,1106829544
443,Hubert Klausner,1111898436
444,Martin Kocher,1088269446
445,Józef Kożdoń,1112603867
446,Jožef Krajnc,1114850674
447,Hans Kudlich,1048166289
448,Gottfried von Kühnelt-Leddihn,1068422030
449,Hartmann Lauterbacher,1070877897
450,Otto Lecher,1033894166
451,Franz Leitner (politician),1010887552
452,Elmar Lichtenegger,1058620648
453,Julius Lippert (historian),1084061853
454,Karl Lütgendorf,1112474529
455,Jürgen Mandl,977059921
456,Renate Mann,1099978355
457,Ferdinand Mannlicher,1104118829
458,Christoph Matznetter,1105484317
459,Johann Gregor Memhardt,1112474313
460,Franz Moroder,1090940019
461,Heinz Nittel,1109478769
462,Brigitta Pallauf,1033512296
463,Wladimir von Pawlowski,1019694668
464,Johann Anton von Pergen,1061803495
465,Gerhard Pfanzelter,1106125275
466,Walter Pfrimer,1113533881
467,Ernst von Plener,1017745075
468,Leopold Poetsch,1092446707
469,Thomas Prinzhorn,1112474168
470,Hermann von Ramberg,994058910
471,Heinrich Reschauer,1083947896
472,Horst Rosenkranz,1112603574
473,Emil Sax,1007521446
474,Karl Schmitzer,1089049732
475,Georg Ritter von Schönerer,1114549144
476,"Georg Adam, Prince of Starhemberg",1102889087
477,Gundaker Thomas Starhemberg,1078907075
478,Josef Staribacher,1049705609
479,Richard Steidle,1112576338
480,Julius Tandler,1077100690
481,"Leopold, Count von Thun und Hohenstein",1096753974
482,Muzio Tommasini,1093955134
483,Karl Freiherr von Vogelsang,1016446506
484,Max Winter (politician),1112474387
485,Anton von Winzor,1045934334
486,Gisela Wurm,1038160173
487,Alexander Zach,1056085498
488,Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau,1111962495
489,Karl von Zinzendorf,1112603523
490,Muzamil Abdullayev,1107065506
491,Leyla Abdullayeva,1102138152
492,Elchin Afandiyev,1075526613
493,Fazail Agamali,1106843986
494,Fuad Alasgarov,1018398706
495,Anvar Alikhanov,1109309028
496,Tarlan Aliyarbayov,1112064160
497,Dilara Aliyeva,1109649588
498,Ali Asadov,1112134949
499,Akram Aylisli,1106344373
500,Sahil Babayev,1112800095
501,Huseyngulu Baghirov,1080007779
502,Alovsat Bakhshiyev,1090036474
503,Rafael Kamil Dzhabrailov,1100266382
504,Matin Eynullayev,1110146340
505,Vilayat Eyvazov,1109686454
506,Abdurrahman Fatalibeyli,1094730548
507,Fazail Ibrahimli,1096310851
508,Solomon Grobshtein,1067081975
509,Teymur Guliyev,1025325196
510,Mammad Gurbanov,1101536288
511,Asaf Hajiyev,1114198988
512,Farhad Hajiyev,1109686109
513,Jamil Hasanli,1091283791
514,Ali M. Hasanov,1104973679
515,Shakir Hasanov,1096145690
516,Zakir Hasanov,1110113628
517,Ali Huseynli,1090157253
518,Alisahib Huseynov,1080007304
519,Ali Ibrahimov,1067793317
520,Mammad Isgandarov,1029087103
521,Vidadi Isgandarov,1092547948
522,Ajdar Ismailov,1096490381
523,Saftar Jafarov,1045812028
524,Rovshan Javadov,1108873335
525,Anar Karimov,1109685880
526,Boris Kevorkov,1072772142
527,Gurban Khalilov,1094981152
528,Ahmad Kordary,1093750341
529,Ilham Madatov,1011331249
530,Musa Mammadov,1084134498
531,Ramin Mammadov,1020887005
532,Elshad Mirbashir oghlu,1084157904
533,Fuad Naghiyev,1081854289
534,Eldar Namazov,1087483504
535,Siyavush Novruzov,1114475460
536,Sadig Rahimov,1074822020
537,Suleyman Rahimov,1096039626
538,Huseyn Rahmanov,1106104383
539,Hasan Sayidov,1025325260
540,Parviz Shahbazov,1105103095
541,Mammad agha Shahtakhtinski,1080672703
542,Abid Sharifov,1096574448
543,Bakhtiyar Vahabzadeh,1114287934
544,Elmir Valiyev,1074732244
545,Nurali Yusifbayli,1019924574
546,Harold Christie,1083155826
547,Timothy Donaldson,1109457989
548,Joseph Robert Love,1084382477
549,Mohammed Isa Al Abbasi,1021088682
550,Abdullah bin Isa Al Khalifa,1011511102
551,Ahmed Behzad (Bahrain),1063482737
552,Kamal Ahmed (politician),1010461395
553,Mohamed Ali Hasan Ali,1006173162
554,Khalid Almoayed,1063486161
555,Aymen Tawfeeq Almoayed,1109935820
556,Nazar Al Baharna,1067620253
557,Mahmood Al Bahrani,1096789330
558,Ammar Al Bannai,1089564533
559,Jawad Fairooz,1088485834
560,Qasim Fakhro,1099067663
561,Faisal al-Hamar,1068897458
562,Nabeel bin Yaqub Al-Hamar,1096789114
563,Isa bin Abdulrahman Al Hammadi,1098344827
564,Jameel Humadan,1003695133
565,Isa bin Ibrahim Al Khalifa,1033132904
566,Fahmi al-Jowder,1068744646
567,Saud Kanoo,1098699647
568,Essam Khalaf,1006167519
569,Abdullah bin Hamad bin Isa Al Khalifa,1099004905
570,Ibrahim ibn Khalifa Al Khalifa,1107463771
571,Mai bint Mohammed Al Khalifa,1085733309
572,Khallfa bin Duaij Al Khalifa,1022106863
573,Hamad Al Kooheji,1096789043
574,Abdullatif Al-Mahmood,1072499529
575,Khalid Al Maskati,1096789192
576,Abdulhussain bin Ali Mirza,1106388662
577,Mohammed Al-Buainain,1063213013
578,Mohammed bin Khalifa bin Ahmed,1087144216
579,Mohammed bin Khalifa bin Ali Al Khalifa,1096789150
580,Abdulrahman al-Nuaimi,1066056398
581,Ammar Qambar,1086832849
582,Isa Qassim,1100527312
583,Ahmed Al-Salloum,1108146191
584,Salman bin Hamad Al Khalifa,1109869774
585,Oli Ahad,1076894174
586,Farid Ahmed,1066581020
587,Muzaffar Ahmed (NAP politician),1109740890
588,AKM Hafizuddin,1082571647
589,Mohammad Manjur Alam,1099697606
590,Aftab Ali,1111168357
591,M Hossain Ali,1081670946
592,Ashab Uddin Ahmad,1106492750
593,Selina Banu,1059919387
594,Nurul Huq Bhuiyan,1087353972
595,Bishnu Chattopadhyay,1108066856
596,AKM Fazlul Kabir Chowdhury,1115026757
597,Aminul Islam Chowdhury,1068738297
598,Anwarul Karim Chowdhury,1097570502
599,Moinuddin Ahmed Chowdhury,1038606051
600,Sarwar Jan Chowdhury,1052088875
601,Shahinur Pasha Chowdhury,1102455717
602,Yusuf Ali Chowdhury,1098197979
603,Haji Mohammad Danesh,1090578062
604,Pulin De,1038607348
605,James Leo Ferguson,1098196717
606,Abdul Halim Ghaznavi,1112056773
607,Debendra Nath Ghosh,1110092316
608,Ranesh Das Gupta,1038609480
609,AKM Fazlul Haque (Bangladeshi politician),1069141674
610,Abul Hashim,1067903741
611,Syed Najmuddin Hashim,1076061150
612,M. Anwar Hossain,1049654323
613,Nozir Hossain,1085128926
614,Syed Muhammad Ibrahim,1113135652
615,Abul Kashem,1094440759
616,Abul Kashem Khan,1097883330
617,Hatem Ali Khan,1085849741
618,Muhammad Hamidullah Khan,1112460308
619,Yar Mohammad Khan,1113198175
620,Jyotirindra Bodhipriya Larma,1106007965
621,Manik Lal Ray,1110874529
622,Mushrefa Mishu,1066093324
623,Fazlul Haque Montu,1107037359
624,Mujahidul Islam Selim,1111837585
625,SM Nuruzzaman,1068356533
626,Shamsul Huda Panchbagi,1100820734
627,Muhammad Bayazeed Khan Panni,1112344051
628,Ferdous Ahmed Qureshi,1104814058
629,Abdur Rahim (scholar),1112109734
630,Habibar Rahman,1045893159
631,M. M. Rahmatullah,1107693597
632,Golam Maula Rony,1113507548
633,Devasish Roy,1112033318
634,Maulana Shakhawat,1067136662
635,Zahidunnabi Dewan Shamim,1093749046
636,Abul Kalam Shamsuddin,1038585660
637,Badruddoza Ahmed Shuja,1047850212
638,Mohammad Sultan,1038605974
639,Mohammad Toaha,1046006361
640,Badruddin Umar,1111762930
641,Elliott Belgrave,1110292983
642,Chad Blackman,1113735930
643,Santia Bradshaw,1097963495
644,Sonia Browne,1080633319
645,Michael A. Carrington,1090468579
646,William Fondleroy Duguid,1086556181
647,Reginald Farley,1090706976
648,Adrian Forde,1079840895
649,Cynthia Y. Forde,1106579042
650,Ian Gooding-Edghill,1079872008
651,Damien K. A. Griffith,996491794
652,Crystal Haynes,1080792345
653,Hallam Henry (diplomat),1096826466
654,Philip St. Hill,1096731562
655,Arthur Holder,1090469580
656,Kirk Matthew Humphrey,1079886049
657,Davidson Ishmael,1079844213
658,Colin Everett Jordan,1090593974
659,John Andrew King,1079487466
660,Shantal Munro-Knight,1080773405
661,Glyne Murray,1096216109
662,Harry Scott Newlands,1083147482
663,Charles Duncan O'Neal,1091354442
664,Samuel Jackman Prescod,1113474645
665,Shanika Roberts-Odle,1080816111
666,Ryan Straughan,1081912624
667,Dwight Sutherland,1078282094
668,Kerrie Symmonds,1109983886
669,Yury Ambrazevich,1094141913
670,Lyavon Barshchewski,975080643
671,Siarhei Cherachen,1070934154
672,Zmitser Dashkevich,1092550681
673,Siamion Domash,1108538378
674,Tsimafei Dranchuk,1115164729
675,Alaksandar Dubko,1049964918
676,Alana Gebremariam,1114832548
677,Gennady Grushevoy,1094982832
678,Moshe Gutman,1058221840
679,Uładzimir Hančaryk,1105545058
680,Tamaš Hryb,1089370903
681,Anatoĺ Kalinin,1095765737
682,Uładzisłau Kazłouski,1082906416
683,Pavel Pavlovich Kozlovsky,1059698953
684,Ivan Kubrakov,1110591101
685,Vladimir Kumets,1107370274
686,Vyacheslav Nikolayevich Kuznetsov,1059194181
687,Valery Levaneuski,1103967180
688,Pavel Liohki,1112377212
689,Uladzimir Mackievič,1073431420
690,Vladimir Parfenovich,1070648178
691,Jan Pazniak,1109961050
692,Aleksandr Potupa,1114686271
693,Pyotr Prakapovich,1105481408
694,Alexander Radkov,1091859585
695,Symon Rak-Michajłoŭski,1108740902
696,Vladimir Vasilievich Rusakevich,1100971465
697,Ihar Rynkevich,1064451133
698,Aliaksandr Shakutsin,1107954358
699,Nikolai Shelyagovich,1092527212
700,Jan Stankievič,1115330170
701,Mikola Statkevich,1105528576
702,Sergei Tikhanovsky,1110696783
703,Alaksandar Ćvikievič,1113785358
704,Aleksandr Turchin,1086196169
705,Franak Viačorka,1110821628
706,Yury Voskresensky,1091719034
707,Ivan Yermachenka,1074131733
708,Manuel Abramowicz,1063238122
709,Rudy Aernoudt,1104528529
710,Herman Baltia,1088797136
711,Jan Béghin,1094288301
712,Frank Beke,1076417124
713,Gustave Boël,998374140
714,Pol Clovis Boël,1044839682
715,Antoine Brun,1105888595
716,Fernand Cocq,1059781125
717,Émile Coulonvaux,1058540019
718,Auguste Couvreur,1058540061
719,Nico Cué,1090780079
720,Pierre David (mayor),1055146012
721,August De Boodt,1061093766
722,Dirk De fauw,1054979701
723,René De Feyter,995806187
724,François-Philippe de Haussy,1087869295
725,Victor de Laveleye,1077689317
726,Édouard Descamps,1074405063
727,José Desmarets,1059402951
728,Émile van Dievoet,1109379888
729,Marc Drumaux,1054937431
730,Jos Dupré,1100264816
731,Françoise Dupuis,1067685663
732,Veerle Geerinckx,1048340504
733,Eugène Goblet d'Alviella,1114852816
734,Jean-Pierre Grafé,1112290249
735,Jacques Grippa,1034055053
736,Guy Hance,1058901086
737,Joris Helleputte,1051591828
738,Lucienne Herman-Michielsens,1073661185
739,Jules Hiernaux,1003320218
740,Julius Hoste Jr.,1080736243
741,Norbert Hougardy,1058901497
742,Joseph Houssa,1109576011
743,Vincent Houssiau,1036198503
744,Pierre Van Humbeeck,1058901725
745,Dorah Ilunga,1106195369
746,Pierre Imperiali,1058815544
747,Jean-François Istasse,1104147247
748,Milou Jeunehomme,1058898526
749,André Kempinaire,1058897535
750,Willy Kuijpers,1105018002
751,Rachid Madrane,1094043509
752,Luc Michel,1092518027
753,Fientje Moerman,1089220103
754,André Molitor,1089926878
755,Jean Pede,1034055187
756,Jean-Marie Piret,1102188001
757,André-Eugène Pirson,1087847916
758,"Philippe-Ambroise d'Olmen, Baron de Poederlé",1030396425
759,Marjet Van Puymbroeck,1090105907
